Time,Latitude,Longitude,Depth,Magnitude,MagType,Place,Type
2021-06-17T01:11:14.010Z,39.3371658,-122.8031693,6.51,2.81,md,"16km ESE of Lake Pillsbury, CA",earthquake
2021-06-16T18:17:06.530Z,36.4428333,-117.8911667,0.59,2.58,ml,"21km NNE of Olancha, CA",earthquake
2021-06-16T17:51:59.500Z,36.0335,-117.7755,1.42,2.62,ml,"16km E of Coso Junction, CA",earthquake
2021-06-16T17:44:55.070Z,36.442,-117.8888333,0.5,3.38,ml,"21km NNE of Olancha, CA",earthquake
2021-06-16T07:48:39.260Z,36.8235,-121.5613333,5.34,2.61,md,"3km SW of San Juan Bautista, CA",earthquake
2021-06-15T23:07:59.850Z,36.6741667,-121.2823333,6.87,2.98,ml,"13km SSE of Tres Pinos, CA",earthquake
2021-06-15T20:32:57.793Z,38.1677,-118.0759,6.3,3.2,ml,"24 km S of Mina, Nevada",earthquake
2021-06-15T19:14:38.421Z,38.1606,-118.0728,6.7,3,ml,"25 km S of Mina, Nevada",earthquake
2021-06-15T12:41:01.610Z,37.3933333,-121.7818333,1.38,2.51,md,"5km NE of Alum Rock, CA",earthquake
2021-06-14T12:28:12.030Z,33.3551667,-116.3121667,12,3.06,ml,"12km NNE of Borrego Springs, CA",earthquake
2021-06-14T10:37:48.550Z,33.7961667,-116.9266667,9.47,2.75,ml,"3km ENE of San Jacinto, CA",earthquake
2021-06-14T08:45:20.630Z,33.1443333,-115.618,2.73,2.5,ml,"10km WNW of Calipatria, CA",earthquake
2021-06-14T03:16:58.630Z,38.8216667,-122.8446667,2.04,2.96,md,"9km WNW of The Geysers, CA",earthquake
2021-06-14T03:16:24.290Z,38.8051667,-122.8278333,3.56,3.39,ml,"7km WNW of The Geysers, CA",earthquake
2021-06-14T02:08:35.520Z,41.1496667,-123.365,39.31,2.5,md,"27km SSE of Somes Bar, CA",earthquake
2021-06-13T18:20:12.150Z,33.1386667,-115.6413333,7.61,3.15,ml,"11km N of Westmorland, CA",earthquake
2021-06-13T17:43:13.850Z,33.1361667,-115.6408333,7.9,3.01,ml,"11km N of Westmorland, CA",earthquake
2021-06-13T06:54:47.290Z,38.8078333,-122.8291667,2.65,3.98,mw,"7km WNW of The Geysers, CA",earthquake
2021-06-12T17:16:16.370Z,36.429,-120.9676667,12.34,2.53,md,"19km SE of Pinnacles, CA",earthquake
2021-06-12T14:16:39.570Z,33.1875,-115.6416667,3.34,2.71,ml,"13km WSW of Niland, CA",earthquake
2021-06-12T14:04:20.570Z,33.188,-115.6386667,3.05,2.62,ml,"13km WSW of Niland, CA",earthquake
2021-06-12T08:25:07.890Z,33.1906667,-115.6348333,1.53,2.76,ml,"12km WSW of Niland, CA",earthquake
2021-06-12T05:58:35.836Z,38.1749,-117.9457,1.9,2.5,ml,"27 km SSE of Mina, Nevada",earthquake
2021-06-12T05:55:20.790Z,33.205,-115.6605,2.78,3.77,mw,"14km WSW of Niland, CA",earthquake
2021-06-12T05:29:03.190Z,33.2018333,-115.6488333,3.64,2.72,ml,"13km WSW of Niland, CA",earthquake
2021-06-12T05:29:03.160Z,33.1875,-115.6536636,4.65,2.81,ml,"14km WSW of Niland, CA",earthquake
2021-06-12T05:01:11.750Z,33.1975,-115.6535,2.69,2.64,ml,"13km WSW of Niland, CA",earthquake
2021-06-12T04:54:37.040Z,33.2166667,-115.6445,2.77,2.91,ml,"12km WSW of Niland, CA",earthquake
2021-06-12T04:54:12.160Z,33.1966667,-115.646,2.47,2.82,ml,"13km WSW of Niland, CA",earthquake
2021-06-12T04:52:06.230Z,33.2181667,-115.6803333,3.24,2.94,ml,"15km W of Niland, CA",earthquake
2021-06-12T04:51:52.110Z,33.2083333,-115.6496667,3.23,2.63,ml,"13km WSW of Niland, CA",earthquake
2021-06-12T04:51:41.020Z,33.2001667,-115.6478333,2.88,2.54,ml,"13km WSW of Niland, CA",earthquake
2021-06-12T04:49:38.280Z,33.206,-115.656,2.62,4.06,mw,"13km WSW of Niland, CA",earthquake
2021-06-12T04:48:44.560Z,33.2003333,-115.6555,2.94,3.35,ml,"14km WSW of Niland, CA",earthquake
2021-06-12T04:41:37.860Z,33.1956667,-115.6543333,3.12,3.61,ml,"14km WSW of Niland, CA",earthquake
